title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Match Score,Abstract Status,Abstract Error
Beyond static responses: Multi-agent llm systems as a new paradigm for social science research,J Haase; S Pokutta,2025.0,arXiv preprint arXiv:2506.01839,"of LLM-based agents, ranging from simple data processors to complex, multi-agent systems   and methodological boundaries between different agentic architectures, providing a",https://arxiv.org/abs/2506.01839,https://arxiv.org/pdf/2506.01839,18,"/scholar?cites=16969508259856283395&as_sdt=5,33&sciodt=0,33&hl=en",Beyond static responses: Multi-agent llm systems as a new paradigm for social science research,"As large language models (LLMs) transition from static tools to fully agentic systems, their potential for transforming social science research has become increasingly evident. This paper introduces a structured framework for understanding the diverse applications of LLM-based agents, ranging from simple data processors to complex, multi-agent systems capable of simulating emergent social dynamics. By mapping this developmental continuum across six levels, the paper clarifies the technical and methodological boundaries between different agentic architectures, providing a comprehensive overview of current capabilities and future potential. It highlights how lower-tier systems streamline conventional tasks like text classification and data annotation, while higher-tier systems enable novel forms of inquiry, including the study of group dynamics, norm formation, and large-scale social processes. However, these advancements also introduce significant challenges, including issues of reproducibility, ethical oversight, and the risk of emergent biases. The paper critically examines these concerns, emphasizing the need for robust validation protocols, interdisciplinary collaboration, and standardized evaluation metrics. It argues that while LLM-based agents hold transformative potential for the social sciences, realizing this promise will require careful, context-sensitive deployment and ongoing methodological refinement. The paper concludes with a call for future research that balances technical innovation with ethical responsibility, encouraging the development of agentic systems that not only replicate but also extend the frontiers of social science, offering new insights into the complexities of human behavior.",https://doi.org/10.48550/arxiv.2506.01839,OpenAlex,1.0,found,
Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment,P Dang; J Zhu; W Li; Y Xie; H Zhang,2025.0,Safety Science,"This study presents a multi-agent fire evacuation model driven by large language models (LLMs),  aiming to simulate human-like decision-making and behaviors during fire emergencies",https://www.sciencedirect.com/science/article/pii/S0925753525001602,,9,"/scholar?cites=8429904880552958477&as_sdt=5,33&sciodt=0,33&hl=en",Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment,,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22Large-language-model-driven+agents+for+fire+evacuation+simulation+in+a+cellular+automata+environment%22&start=0&max_results=5
Large language model-based agent Schema and library for automated building energy analysis and modeling,L Zhang; X Fu; Y Li; J Chen,2025.0,Automation in Construction,", and share effective LLM agents without starting from scratch. This paper introduces a  JSON-based agent schema designed to structure the description of LLM agents. Additionally, the",https://www.sciencedirect.com/science/article/pii/S0926580525002845,,22,"/scholar?cites=2238849532951242438&as_sdt=5,33&sciodt=0,33&hl=en",Large language model-based agent Schema and library for automated building energy analysis and modeling,,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22Large+language+model-based+agent+Schema+and+library+for+automated+building+energy+analysis+and+modeling%22&start=0&max_results=5
Memengine: A unified and modular library for developing advanced memory of llm-based agents,Z Zhang; Q Dai; X Chen; R Li; Z Li; Z Dong,2025.0,Companion Proceedings of …,"Recently, large language model based (LLM-based) agents have been widely applied   for developing advanced memory models of LLM-based agents, called MemEngine. Based on",https://dl.acm.org/doi/abs/10.1145/3701716.3715299,https://dl.acm.org/doi/pdf/10.1145/3701716.3715299,12,"/scholar?cites=18346746544935464426&as_sdt=5,33&sciodt=0,33&hl=en",Memengine: A unified and modular library for developing advanced memory of llm-based agents,"Recently, large language model based (LLM-based) agents have been widely applied across various fields.As a critical part, their memory capabilities have captured significant interest from both industrial and academic communities.Despite the proposal of many advanced memory models in recent research, however, there remains a lack of unified implementations under a general framework.To address this issue, we develop a unified and modular library for developing advanced memory models of LLM-based agents, called MemEngine.Based on our framework, we implement abundant memory models from recent research works.Additionally, our library facilitates convenient and extensible memory development, and offers user-friendly and pluggable memory usage.For benefiting our community, we have made our project publicly available at https://github.com/nuster1128/MemEngine.",https://doi.org/10.1145/3701716.3715299,OpenAlex,1.0,found,
CompileAgent: Automated real-world repo-level compilation with tool-integrated LLM-based agent system,L Hu; G Chen; X Shang; S Cheng; B Wu,2025.0,Proceedings of the …,"LLM-based agents in various fields, we propose CompileAgent, the first LLM-based agent   CompileAgent integrates five tools and a flow-based agent strategy, enabling interaction with",https://aclanthology.org/2025.acl-long.103/,https://aclanthology.org/2025.acl-long.103.pdf,10,"/scholar?cites=6125838442376788470&as_sdt=5,33&sciodt=0,33&hl=en",CompileAgent: Automated real-world repo-level compilation with tool-integrated LLM-based agent system,"With open-source projects growing in size and complexity, manual compilation becomes tedious and error-prone, highlighting the need for automation to improve efficiency and accuracy. However, the complexity of compilation instruction search and error resolution makes automatic compilation challenging. Inspired by the success of LLM-based agents in various fields, we propose CompileAgent, the first LLM-based agent framework dedicated to repo-level compilation. CompileAgent integrates five tools and a flow-based agent strategy, enabling interaction with software artifacts for compilation instruction search and error resolution. To measure the effectiveness of our method, we design a public repo-level benchmark CompileAgentBench, and we also design two baselines for comparison by combining two compilation-friendly schemes. The performance on this benchmark shows that our method significantly improves the compilation success rate, ranging from 10% to 71%. Meanwhile, we evaluate the performance of CompileAgent under different agent strategies and verify the effectiveness of the flow-based strategy. Additionally, we emphasize the scalability of CompileAgent, further expanding its application prospects.",https://doi.org/10.48550/arxiv.2505.04254,OpenAlex,1.0,found,
Agentsquare: Automatic llm agent search in modular design space,Y Shang; Y Li; K Zhao; L Ma; J Liu; F Xu; Y Li,2024.0,arXiv preprint arXiv …,"LLM Agent Search (MoLAS). We propose a modular design space that abstracts existing  LLM agent  Building on this design space, we present a novel LLM agent search framework",https://arxiv.org/abs/2410.06153,https://arxiv.org/pdf/2410.06153?,65,"/scholar?cites=5088059229835817160&as_sdt=5,33&sciodt=0,33&hl=en",Agentsquare: Automatic llm agent search in modular design space,"Recent advancements in Large Language Models (LLMs) have led to a rapid growth of agentic systems capable of handling a wide range of complex tasks. However, current research largely relies on manual, task-specific design, limiting their adaptability to novel tasks. In this paper, we introduce a new research problem: Modularized LLM Agent Search (MoLAS). We propose a modular design space that abstracts existing LLM agent designs into four fundamental modules with uniform IO interface: Planning, Reasoning, Tool Use, and Memory. Building on this design space, we present a novel LLM agent search framework called AgentSquare, which introduces two core mechanisms, i.e., module evolution and recombination, to efficiently search for optimized LLM agents. To further accelerate the process, we design a performance predictor that uses in-context surrogate models to skip unpromising agent designs. Extensive experiments across six benchmarks, covering the diverse scenarios of web, embodied, tool use and game applications, show that AgentSquare substantially outperforms hand-crafted agents, achieving an average performance gain of 17.2% against best-known human designs. Moreover, AgentSquare can generate interpretable design insights, enabling a deeper understanding of agentic architecture and its impact on task performance. We believe that the modular design space and AgentSquare search framework offer a platform for fully exploiting the potential of prior successful designs and consolidating the collective efforts of research community. Code repo is available at https://github.com/tsinghua-fib-lab/AgentSquare.",https://doi.org/10.48550/arxiv.2410.06153,OpenAlex,1.0,found,
Stance detection with collaborative role-infused llm-based agents,X Lan; C Gao; D Jin; Y Li,2024.0,… of the international AAAI conference on web …,"for Collaborative rOleinfused LLM-based Agents) in which  a specific LLM-based agent to  advocate for it, guiding the LLM  , a final decision maker agent consolidates prior insights to",https://ojs.aaai.org/index.php/ICWSM/article/view/31360,https://ojs.aaai.org/index.php/ICWSM/article/download/31360/33520,129,"/scholar?cites=18122939403710947746&as_sdt=5,33&sciodt=0,33&hl=en",Stance detection with collaborative role-infused llm-based agents,"Stance detection automatically detects the stance in a text towards a target, vital for content analysis in web and social media research. Despite their promising capabilities, LLMs encounter challenges when directly applied to stance detection. First, stance detection demands multi-aspect knowledge, from deciphering event-related terminologies to understanding the expression styles in social media platforms. Second, stance detection requires advanced reasoning to infer authors' implicit viewpoints, as stances are often subtly embedded rather than overtly stated in the text. To address these challenges, we design a three-stage framework COLA (short for Collaborative rOle-infused LLM-based Agents) in which LLMs are designated distinct roles, creating a collaborative system where each role contributes uniquely. Initially, in the multidimensional text analysis stage, we configure the LLMs to act as a linguistic expert, a domain specialist, and a social media veteran to get a multifaceted analysis of texts, thus overcoming the first challenge. Next, in the reasoning-enhanced debating stage, for each potential stance, we designate a specific LLM-based agent to advocate for it, guiding the LLM to detect logical connections between text features and stance, tackling the second challenge. Finally, in the stance conclusion stage, a final decision maker agent consolidates prior insights to determine the stance. Our approach avoids extra annotated data and model training and is highly usable. We achieve state-of-the-art performance across multiple datasets. Ablation studies validate the effectiveness of each role design in handling stance detection. Further experiments have demonstrated the explainability and the versatility of our approach. Our approach excels in usability, accuracy, effectiveness, explainability and versatility, highlighting its value.",https://doi.org/10.1609/icwsm.v18i1.31360,OpenAlex,1.0,found,
Embodied llm agents learn to cooperate in organized teams,X Guo; K Huang; J Liu; W Fan; N Vélez,2026.0,IEEE Transactions …,on LLM agents to mitigate these problems. Through a series of experiments with embodied  LLM agents and human–agent  qualities displayed by LLM agents and their spontaneous,https://ieeexplore.ieee.org/abstract/document/11402892/,https://arxiv.org/pdf/2403.12482,119,"/scholar?cites=2473102724521297394&as_sdt=5,33&sciodt=0,33&hl=en",Embodied llm agents learn to cooperate in organized teams,"Large Language Models (LLMs) have emerged as integral tools for reasoning, planning, and decision-making, drawing upon their extensive world knowledge and proficiency in language-related tasks. LLMs thus hold tremendous potential for natural language interaction within multi-agent systems to foster cooperation. However, LLM agents tend to over-report and comply with any instruction, which may result in information redundancy and confusion in multi-agent cooperation. Inspired by human organizations, this paper introduces a framework that imposes prompt-based organization structures on LLM agents to mitigate these problems. Through a series of experiments with embodied LLM agents and human-agent collaboration, our results highlight the impact of designated leadership on team efficiency, shedding light on the leadership qualities displayed by LLM agents and their spontaneous cooperative behaviors. Further, we harness the potential of LLMs to propose enhanced organizational prompts, via a Criticize-Reflect process, resulting in novel organization structures that reduce communication costs and enhance team efficiency.",https://doi.org/10.48550/arxiv.2403.12482,OpenAlex,1.0,found,
Beyond demographics: Aligning role-playing LLM-based agents using human belief networks,YS Chuang; K Nirunwiroj; Z Studdiford,2024.0,Findings of the …,"As depicted in Figure 1, we aim to construct an LLM agent i′ as  LLM agent i′, and then  query the agent’s opinion (oi′ ) on a wide range of topics. We then evaluate the human-LLM",https://aclanthology.org/2024.findings-emnlp.819/,https://aclanthology.org/2024.findings-emnlp.819.pdf,47,"/scholar?cites=1651923807843048776&as_sdt=5,33&sciodt=0,33&hl=en",Beyond demographics: Aligning role-playing LLM-based agents using human belief networks,"Yun-Shiuan Chuang, Krirk Nirunwiroj, Zach Studdiford, Agam Goyal, Vincent V. Frigo, Sijia Yang, Dhavan V. Shah, Junjie Hu, Timothy T. Rogers. Findings of the Association for Computational Linguistics: EMNLP 2024. 2024.",https://doi.org/10.18653/v1/2024.findings-emnlp.819,OpenAlex,1.0,found,
Smart-llm: Smart multi-agent robot task planning using large language models,SS Kannan; VLN Venkatesh,2024.0,2024 IEEE/RSJ …,"Following the initial few-shot LLM prompting, we provide the LLM with various pieces of  information: details about the robot’s skills, information about the environment, several examples",https://ieeexplore.ieee.org/abstract/document/10802322/,https://arxiv.org/pdf/2309.10062,369,"/scholar?cites=6697108159615206535&as_sdt=5,33&sciodt=0,33&hl=en",Smart-llm: Smart multi-agent robot task planning using large language models,"In this work, we introduce SMART-LLM, an innovative framework designed for embodied multi-robot task planning. SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models (LLMs), harnesses the power of LLMs to convert high-level task instructions provided as input into a multi-robot task plan. It accomplishes this by executing a series of stages, including task decomposition, coalition formation, and task allocation, all guided by programmatic LLM prompts within the few-shot prompting paradigm. We create a benchmark dataset designed for validating the multi-robot task planning problem, encompassing four distinct categories of high-level instructions that vary in task complexity. Our evaluation experiments span both simulation and real-world scenarios, demonstrating that the proposed model can achieve promising results for generating multi-robot task plans. The experimental videos, code, and datasets from the work can be found at https://sites.google.com/view/smart-llm/.",https://doi.org/10.1109/iros58592.2024.10802322,OpenAlex,1.0,found,
"Researchy questions: A dataset of multi-perspective, decompositional questions for llm web agents",C Rosset; HL Chung; G Qin; EC Chau; Z Feng,2024.0,arXiv preprint arXiv …,We present Researchy Questions to study the dynamics of how LLM agents handle unclear   to evaluate question answering systems or LLM Agents with the ultimate goal of achieving,https://arxiv.org/abs/2402.17896,https://arxiv.org/pdf/2402.17896,31,"/scholar?cites=11298949526961398740&as_sdt=5,33&sciodt=0,33&hl=en","Researchy questions: A dataset of multi-perspective, decompositional questions for llm web agents","Existing question answering (QA) datasets are no longer challenging to most powerful Large Language Models (LLMs). Traditional QA benchmarks like TriviaQA, NaturalQuestions, ELI5 and HotpotQA mainly study ``known unknowns'' with clear indications of both what information is missing, and how to find it to answer the question. Hence, good performance on these benchmarks provides a false sense of security. A yet unmet need of the NLP community is a bank of non-factoid, multi-perspective questions involving a great deal of unclear information needs, i.e. ``unknown uknowns''. We claim we can find such questions in search engine logs, which is surprising because most question-intent queries are indeed factoid. We present Researchy Questions, a dataset of search engine queries tediously filtered to be non-factoid, ``decompositional'' and multi-perspective. We show that users spend a lot of ``effort'' on these questions in terms of signals like clicks and session length, and that they are also challenging for GPT-4. We also show that ``slow thinking'' answering techniques, like decomposition into sub-questions shows benefit over answering directly. We release $\sim$ 100k Researchy Questions, along with the Clueweb22 URLs that were clicked.",https://doi.org/10.48550/arxiv.2402.17896,OpenAlex,1.0,found,
FinMem: A Performance-Enhanced LLM Trading Agent With Layered Memory and Character Design,Y Yu; H Li; Z Chen; Y Jiang; Y Li,2025.0,… Transactions on Big …,"We introduce FINMEM, a novel LLM-based autonomous trading agent. We claim that it  two  other LLM agents in our study, FINGPT and the general-purpose generative agent developed",https://ieeexplore.ieee.org/abstract/document/11112648/,https://ojs.aaai.org/index.php/AAAI-SS/article/download/31290/33450,202,"/scholar?cites=10284780351641534317&as_sdt=5,33&sciodt=0,33&hl=en",FinMem: A Performance-Enhanced LLM Trading Agent With Layered Memory and Character Design,"Recent advancements in Large Language Models (LLMs) have exhibited notable efficacy in question-answering (QA) tasks across diverse domains. Their prowess in integrating extensive web knowledge has fueled interest in developing LLM-based autonomous agents. While LLMs are efficient in decoding human instructions and deriving solutions by holistically processing historical inputs, transitioning to purpose-driven agents requires a supplementary rational architecture to process multi-source information, establish reasoning chains, and prioritize critical tasks. Addressing this, we introduce FinMem, a novel LLM-based agent framework devised for financial decision-making. It encompasses three core modules: Profiling, to customize the agent's characteristics; Memory, with layered message processing, to aid the agent in assimilating hierarchical financial data; and Decision-making, to convert insights gained from memories into investment decisions. Notably, FinMem's memory module aligns closely with the cognitive structure of human traders, offering robust interpretability and real-time tuning. Its adjustable cognitive span allows for the retention of critical information beyond human perceptual limits, thereby enhancing trading outcomes. This framework enables the agent to self-evolve its professional knowledge, react agilely to new investment cues, and continuously refine trading decisions in the volatile financial environment. We first compare FinMem with various algorithmic agents on a scalable real-world financial dataset, underscoring its leading trading performance in stocks. We then fine-tuned the agent's perceptual span and character setting to achieve a significantly enhanced trading performance. Collectively, FinMem presents a cutting-edge LLM agent framework for automated trading, boosting cumulative investment returns.",https://doi.org/10.1609/aaaiss.v3i1.31290,OpenAlex,1.0,found,
LAC: Using LLM-based Agents as the Controller to Realize Embodied Robot,J Xu; Z Zheng; Z Wang,2024.0,2024 IEEE International Conference …,"We propose LAC (LLM-based Agents as the Controller), a new  is LLM-based agents that  can plan, decompose tasks and make decisions based on linguistic input. Two agents operate",https://ieeexplore.ieee.org/abstract/document/10907494/,,8,"/scholar?cites=8448388226807923657&as_sdt=5,33&sciodt=0,33&hl=en",LAC: Using LLM-based Agents as the Controller to Realize Embodied Robot,"The rapid development of Large Language Models (LLMs) facilitates the application of robotics, especially for robotic control. LLM-based robots are a way to realize embodied intelligence, but they still lack a general control paradigm to achieve embodied robot. We propose LAC (LLM-based Agents as the Controller), a new formulation to enable embodied robots to autonomously react to high-level tasks like humans. Specifically, the controller in LAC is LLM-based agents that can plan, decompose tasks and make decisions based on linguistic input. Two agents operate in parallel within the controller to replicate both instinctive reaction and deep consideration. The output of the controller consists of linguistic parameters that activate task-specific tools, enabling autonomous execution of low-level actions. LAC translates multi-modal feedback information into linguistic messages, which are then transmitted back to the controller to establish a closed-loop control flow. Once equipped with appropriate tools, the proposed LAC can be applied across various applications. A straightforward simulated office task, TASK0, illustrates the successful completion of the embodied task by LAC. Furthermore, testing five comparative LLMs on TASK0 also demonstrates that LAC serves as a potential test platform for validating the capability of LLMs to function as the cognitive center of embodied robots.",https://doi.org/10.1109/robio64047.2024.10907494,OpenAlex,1.0,found,
Simulating financial market via large language model based agents,S Gao; Y Wen; M Zhu; J Wei; Y Cheng; Q Zhang,2024.0,arXiv preprint arXiv …,"Then, we propose a large language model based agent as the stock trader, which contains  the profile, observation, and tool-learning based action module. The trading agent can",https://arxiv.org/abs/2406.19966,https://arxiv.org/pdf/2406.19966?,41,"/scholar?cites=7043941209091122600&as_sdt=5,33&sciodt=0,33&hl=en",Simulating financial market via large language model based agents,"Most economic theories typically assume that financial market participants are fully rational individuals and use mathematical models to simulate human behavior in financial markets. However, human behavior is often not entirely rational and is challenging to predict accurately with mathematical models. In this paper, we propose \textbf{A}gent-based \textbf{S}imulated \textbf{F}inancial \textbf{M}arket (ASFM), which first constructs a simulated stock market with a real order matching system. Then, we propose a large language model based agent as the stock trader, which contains the profile, observation, and tool-learning based action module. The trading agent can comprehensively understand current market dynamics and financial policy information, and make decisions that align with their trading strategy. In the experiments, we first verify that the reactions of our ASFM are consistent with the real stock market in two controllable scenarios. In addition, we also conduct experiments in two popular economics research directions, and we find that conclusions drawn in our \model align with the preliminary findings in economics research. Based on these observations, we believe our proposed ASFM provides a new paradigm for economic research.",https://doi.org/10.48550/arxiv.2406.19966,OpenAlex,1.0,found,
Agentops: Enabling observability of llm agents,L Dong; Q Lu; L Zhu,2024.0,arXiv preprint arXiv:2411.05285,These LLM applications also involve LLM-agent projects and are likely to serve as reference  platforms for the design of AgentOps platforms to enhance agent system observability in the,https://arxiv.org/abs/2411.05285,https://arxiv.org/pdf/2411.05285?,34,"/scholar?cites=4672540737788735931&as_sdt=5,33&sciodt=0,33&hl=en",Agentops: Enabling observability of llm agents,"Large language model (LLM) agents have demonstrated remarkable capabilities across various domains, gaining extensive attention from academia and industry. However, these agents raise significant concerns on AI safety due to their autonomous and non-deterministic behavior, as well as continuous evolving nature . From a DevOps perspective, enabling observability in agents is necessary to ensuring AI safety, as stakeholders can gain insights into the agents' inner workings, allowing them to proactively understand the agents, detect anomalies, and prevent potential failures. Therefore, in this paper, we present a comprehensive taxonomy of AgentOps, identifying the artifacts and associated data that should be traced throughout the entire lifecycle of agents to achieve effective observability. The taxonomy is developed based on a systematic mapping study of existing AgentOps tools. Our taxonomy serves as a reference template for developers to design and implement AgentOps infrastructure that supports monitoring, logging, and analytics. thereby ensuring AI safety.",https://doi.org/10.48550/arxiv.2411.05285,OpenAlex,1.0,found,
DoVer: Intervention-Driven Auto Debugging for LLM Multi-Agent Systems,M Ma; J Zhang; F Yang; Y Kang; Q Lin,2025.0,arXiv preprint arXiv …,"Large language model (LLM)–based multi-agent systems  , attributing errors to a specific  agent and step. However, this  (ii) single-step or single-agent attribution is often ill-posed, as we",https://arxiv.org/abs/2512.06749,https://arxiv.org/pdf/2512.06749,3,"/scholar?cites=7527492479394411544&as_sdt=5,33&sciodt=0,33&hl=en",DoVer: Intervention-Driven Auto Debugging for LLM Multi-Agent Systems,"Large language model (LLM)-based multi-agent systems are challenging to debug because failures often arise from long, branching interaction traces. The prevailing practice is to leverage LLMs for log-based failure localization, attributing errors to a specific agent and step. However, this paradigm has two key limitations: (i) log-only debugging lacks validation, producing untested hypotheses, and (ii) single-step or single-agent attribution is often ill-posed, as we find that multiple distinct interventions can independently repair the failed task. To address the first limitation, we introduce DoVer, an intervention-driven debugging framework, which augments hypothesis generation with active verification through targeted interventions (e.g., editing messages, altering plans). For the second limitation, rather than evaluating on attribution accuracy, we focus on measuring whether the system resolves the failure or makes quantifiable progress toward task success, reflecting a more outcome-oriented view of debugging. Within the Magnetic-One agent framework, on the datasets derived from GAIA and AssistantBench, DoVer flips 18-28% of failed trials into successes, achieves up to 16% milestone progress, and validates or refutes 30-60% of failure hypotheses. DoVer also performs effectively on a different dataset (GSMPlus) and agent framework (AG2), where it recovers 49% of failed trials. These results highlight intervention as a practical mechanism for improving reliability in agentic systems and open opportunities for more robust, scalable debugging methods for LLM-based multi-agent systems. Project website and code will be available at https://aka.ms/DoVer.",,OpenAlex,1.0,found,
On Architecture of LLM agents,D Namiot; E Ilyushin,2025.0,International Journal of Open Information …,"Настоящая статья – это попытка описать архитектуру LLM агентов с более  Agent  security bench (asb): Formalizing and benchmarking attacks and defenses in llm-based agents.""",http://www.injoit.ru/index.php/j1/article/view/2057,http://www.injoit.ru/index.php/j1/article/download/2057/1830,11,"/scholar?cites=16265464171171557390&as_sdt=5,33&sciodt=0,33&hl=en",On Architecture of LLM agents,,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22On+Architecture+of+LLM+agents%22&start=0&max_results=5
Sv-llm: An agentic approach for soc security verification using large language models,D Saha; S Tarek; HA Shaikh; KT Hasan,2025.0,arXiv preprint arXiv …,"-LLM, a novel multi-agent assistant system designed to automate and enhance SoC security  verification. By integrating specialized agents  validation, SV-LLM streamlines the workflow.",https://arxiv.org/abs/2506.20415,https://arxiv.org/pdf/2506.20415,7,"/scholar?cites=8120616196823668851&as_sdt=5,33&sciodt=0,33&hl=en",Sv-llm: An agentic approach for soc security verification using large language models,"Ensuring the security of complex system-on-chips (SoCs) designs is a critical imperative, yet traditional verification techniques struggle to keep pace due to significant challenges in automation, scalability, comprehensiveness, and adaptability. The advent of large language models (LLMs), with their remarkable capabilities in natural language understanding, code generation, and advanced reasoning, presents a new paradigm for tackling these issues. Moving beyond monolithic models, an agentic approach allows for the creation of multi-agent systems where specialized LLMs collaborate to solve complex problems more effectively. Recognizing this opportunity, we introduce SV-LLM, a novel multi-agent assistant system designed to automate and enhance SoC security verification. By integrating specialized agents for tasks like verification question answering, security asset identification, threat modeling, test plan and property generation, vulnerability detection, and simulation-based bug validation, SV-LLM streamlines the workflow. To optimize their performance in these diverse tasks, agents leverage different learning paradigms, such as in-context learning, fine-tuning, and retrieval-augmented generation (RAG). The system aims to reduce manual intervention, improve accuracy, and accelerate security analysis, supporting proactive identification and mitigation of risks early in the design cycle. We demonstrate its potential to transform hardware security practices through illustrative case studies and experiments that showcase its applicability and efficacy.",https://doi.org/10.48550/arxiv.2506.20415,OpenAlex,1.0,found,
Architecture exploration and reflection meet llm-based agents,JA Diaz-Pace; A Tommasel; R Capilla,2025.0,2025 IEEE 22nd …,"In addition to incorporating architectural knowledge, these agents can reflect on the pros and   LATS agent frameworks, and discuss initial results of applying our LLM-based agents to a",https://ieeexplore.ieee.org/abstract/document/11014919/,,6,"/scholar?cites=5337819775911594775&as_sdt=5,33&sciodt=0,33&hl=en",Architecture exploration and reflection meet llm-based agents,"The exploration of architecture alternatives is an essential part of the architecture design process, in which designers search and assess solutions for their requirements. Although automated tools and techniques have been proposed for this process, they still face adoption challenges. Nowadays, the emergence of generative AI techniques creates an opportunity for leveraging natural language representations in architecture design, particularly through LLM-based agents. To date, these agents have been mostly focused on coding-related tasks or requirements analysis. In this work, we investigate an approach for defining design agents, which can autonomously search for architectural patterns and tactics for a particular system and requirements using a textual format. In addition to incorporating architectural knowledge, these agents can reflect on the pros and cons of the proposed decisions, enabling a feedback loop towards improving the decisions' quality. We present a proof-of-concept called ReArch that adapts elements from the ReAct and LATS agent frameworks, and discuss initial results of applying our LLM-based agents to a case study considering different patterns.",https://doi.org/10.1109/icsa-c65153.2025.00015,OpenAlex,1.0,found,
A Plan Reuse Mechanism for LLM-Driven Agent,G Li; R Wu; H Tan,2025.0,arXiv preprint arXiv:2512.21309,"are termed personal LLMdriven agents [51], or simply agents in this paper. An LLM-driven  agent uses an LLM as its  When an agent receives a task request from a user, it first utilizes the",https://arxiv.org/abs/2512.21309,https://arxiv.org/pdf/2512.21309,2,"/scholar?cites=15075511949311792110&as_sdt=5,33&sciodt=0,33&hl=en",A Plan Reuse Mechanism for LLM-Driven Agent,"Integrating large language models (LLMs) into personal assistants, like Xiao Ai and Blue Heart V, effectively enhances their ability to interact with humans, solve complex tasks, and manage IoT devices. Such assistants are also termed LLM-driven agents. Upon receiving user requests, the LLM-driven agent generates plans using an LLM, executes these plans through various tools, and then returns the response to the user. During this process, the latency for generating a plan with an LLM can reach tens of seconds, significantly degrading user experience. Real-world dataset analysis shows that about 30% of the requests received by LLM-driven agents are identical or similar, which allows the reuse of previously generated plans to reduce latency. However, it is difficult to accurately define the similarity between the request texts received by the LLM-driven agent through directly evaluating the original request texts. Moreover, the diverse expressions of natural language and the unstructured format of plan texts make implementing plan reuse challenging. To address these issues, we present and implement a plan reuse mechanism for LLM-driven agents called AgentReuse. AgentReuse leverages the similarities and differences among requests' semantics and uses intent classification to evaluate the similarities between requests and enable the reuse of plans. Experimental results based on a real-world dataset demonstrate that AgentReuse achieves a 93% effective plan reuse rate, an F1 score of 0.9718, and an accuracy of 0.9459 in evaluating request similarities, reducing latency by 93.12% compared with baselines without using the reuse mechanism.",,OpenAlex,1.0,found,
An interactive system for 3D spatial relationship query by integrating tree-based element indexing and LLM-based agent,A Li; PKY Wong; X Tao; J Ma; JCP Cheng,2025.0,Advanced Engineering …,"spatial query system based on the LLM-based agent system, with three major contributions:   ; (3) an LLM-based multi-agent collaboration framework to deeply integrate LLM and spatial",https://www.sciencedirect.com/science/article/pii/S147403462500268X,,15,"/scholar?cites=13545701820429081223&as_sdt=5,33&sciodt=0,33&hl=en",An interactive system for 3D spatial relationship query by integrating tree-based element indexing and LLM-based agent,,,,,skipped,query_arxiv: HTTPError: 429 Client Error: Unknown Error for url: https://export.arxiv.org/api/query?search_query=ti%3A%22An+interactive+system+for+3D+spatial+relationship+query+by+integrating+tree-based+element+indexing+and+LLM-based+agent%22&start=0&max_results=5
Cooperate or collapse: Emergence of sustainable cooperation in a society of llm agents,G Piatti; Z Jin; M Kleiman-Weiner,2024.0,Advances in …,LLM-based agent architecture and test it with the leading open and closed LLMs. We find that  all but the most powerful LLM agents  multi-agent communication between agents is critical,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ca9567d8ef6b2ea2da0d7eed57b933ee-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ca9567d8ef6b2ea2da0d7eed57b933ee-Paper-Conference.pdf,116,"/scholar?cites=3935326055934610367&as_sdt=5,33&sciodt=0,33&hl=en",Cooperate or collapse: Emergence of sustainable cooperation in a society of llm agents,"As AI systems pervade human life, ensuring that large language models (LLMs) make safe decisions remains a significant challenge. We introduce the Governance of the Commons Simulation (GovSim), a generative simulation platform designed to study strategic interactions and cooperative decision-making in LLMs. In GovSim, a society of AI agents must collectively balance exploiting a common resource with sustaining it for future use. This environment enables the study of how ethical considerations, strategic planning, and negotiation skills impact cooperative outcomes. We develop an LLM-based agent architecture and test it with the leading open and closed LLMs. We find that all but the most powerful LLM agents fail to achieve a sustainable equilibrium in GovSim, with the highest survival rate below 54%. Ablations reveal that successful multi-agent communication between agents is critical for achieving cooperation in these cases. Furthermore, our analyses show that the failure to achieve sustainable cooperation in most LLMs stems from their inability to formulate and analyze hypotheses about the long-term effects of their actions on the equilibrium of the group. Finally, we show that agents that leverage ""Universalization""-based reasoning, a theory of moral thinking, are able to achieve significantly better sustainability. Taken together, GovSim enables us to study the mechanisms that underlie sustainable self-government with specificity and scale. We open source the full suite of our research results, including the simulation environment, agent prompts, and a comprehensive web interface.",https://doi.org/10.48550/arxiv.2404.16698,OpenAlex,1.0,found,
